,name,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,played,Points_per_Minute,Points_per_Value,Rolling_Avg_Goals,Goal_Involvement,was_home,position_DEF,position_FWD,position_GK,position_MID,form,total_points_lag1,goals_scored_lag1,assists_lag1,minutes_lag1,bps_lag1,value_lag1,transfers_in_lag1,transfers_out_lag1
223,Aaron Cresswell,West Ham,1.3,0,0,16,0,18.7,457,0.0,0.0,0.0,0.0,10,2,0,4.1,22.0,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,266706,0,2,0,0.0,1,0,0,0,50,0,1,0,0.011111111111111112,0.02,0.0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,Aaron Cresswell,West Ham,2.0,0,0,14,0,65.8,457,0.0,0.0,0.0,0.0,18,1,0,8.1,14.6,2022-08-14T13:00:00Z,90,16,0,0,0,0,2,0,320890,0,0,1,1.0,2,21509,45044,23535,50,0,2,1,0.022222222222222223,0.04,0.0,0,0,1,0,0,0,1.5,1.0,0.0,0.0,90.0,16.0,50.0,0.0,0.0
819,Aaron Cresswell,West Ham,1.0,0,0,6,0,38.8,457,0.0,0.0,0.0,0.0,30,2,0,6.7,10.2,2022-08-21T13:00:00Z,90,5,0,0,0,0,3,0,307342,0,2,0,18.0,0,-19414,20572,39986,50,1,3,1,0.0,0.0,0.0,0,1,1,0,0,0,1.0,2.0,0.0,0.0,90.0,14.0,50.0,45044.0,23535.0
1112,Aaron Cresswell,West Ham,2.2,0,0,26,1,5.8,457,0.0,0.0,0.0,0.0,32,0,0,2.8,13.8,2022-08-28T13:00:00Z,90,2,0,0,0,0,4,0,257633,0,1,0,8.0,6,-53162,5437,58599,50,0,4,1,0.06666666666666667,0.12,0.0,0,0,1,0,0,0,2.25,0.0,0.0,0.0,90.0,6.0,50.0,20572.0,39986.0
1398,Aaron Cresswell,West Ham,1.7,0,0,16,0,1.5,457,0.0,0.0,0.0,0.0,47,1,0,2.9,27.0,2022-08-31T18:45:00Z,71,18,0,0,0,0,5,0,239899,0,1,1,0.0,2,-21500,5184,26684,49,0,5,0,0.028169014084507043,0.04081632653061224,0.0,0,1,1,0,0,0,2.2,6.0,0.0,0.0,90.0,26.0,50.0,5437.0,58599.0
1927,Aaron Cresswell,West Ham,2.5,0,0,13,0,31.8,457,0.0,0.0,0.0,0.0,75,1,0,5.3,11.0,2022-09-18T13:15:00Z,90,8,0,0,0,0,8,0,193179,0,0,1,10.0,2,6734,17465,10731,48,0,8,1,0.022222222222222223,0.041666666666666664,0.0,0,0,1,0,0,0,2.4,2.0,0.0,0.0,71.0,16.0,49.0,5184.0,26684.0
2207,Aaron Cresswell,West Ham,3.5,0,0,21,1,12.1,457,0.0,0.0,0.0,0.0,90,0,0,2.8,15.8,2022-10-01T16:30:00Z,90,20,0,0,0,0,9,0,208118,0,0,2,0.0,5,17709,30963,13254,48,1,9,1,0.05555555555555555,0.10416666666666667,0.0,0,1,1,0,0,0,3.0,2.0,0.0,0.0,90.0,13.0,48.0,17465.0,10731.0
2508,Aaron Cresswell,West Ham,3.0,0,0,20,0,42.8,457,0.0,0.0,0.0,0.0,100,1,0,6.9,24.2,2022-10-09T13:00:00Z,90,9,0,0,0,0,10,0,250600,0,1,3,2.0,2,39911,49989,10078,48,0,10,1,0.022222222222222223,0.041666666666666664,0.0,0,1,1,0,0,0,3.4,5.0,0.0,0.0,90.0,21.0,48.0,30963.0,13254.0
2807,Aaron Cresswell,West Ham,3.0,0,1,19,0,47.9,457,0.0,0.0,0.0,0.0,108,1,0,7.1,21.0,2022-10-16T13:00:00Z,90,17,0,0,0,0,11,0,267408,0,1,1,2.0,3,16237,27263,11026,48,0,11,1,0.03333333333333333,0.0625,0.0,0,0,1,0,0,0,2.8,2.0,0.0,0.0,90.0,20.0,48.0,49989.0,10078.0
3082,Aaron Cresswell,West Ham,0.0,0,0,23,0,30.9,457,0.0,0.0,0.0,0.0,118,1,0,5.8,27.2,2022-10-19T18:30:00Z,90,12,0,0,0,0,12,0,248750,0,0,1,0.0,2,-7893,8141,16034,48,0,12,0,0.022222222222222223,0.041666666666666664,0.0,0,0,1,0,0,0,2.8,3.0,0.0,0.0,90.0,19.0,48.0,27263.0,11026.0
